id,type,urgency_level,submitted_time,origin_location_id,destination_location_id,status
1,Equipment Delivery,1,2026-08-08 17:38,5,44,Completed
2,Sample Pickup,5,2026-08-11 12:13,3,40,Completed
3,Blood Delivery,4,2026-08-22 12:29,43,46,Pending
4,Patient Transfer,4,2026-08-19 09:04,21,49,Completed
5,Medicine Delivery,3,2026-08-08 13:18,35,14,Pending
6,Blood Delivery,5,2026-08-17 08:42,11,29,Completed
7,Patient Transfer,2,2026-08-04 09:47,36,20,Assigned
8,Sample Pickup,2,2026-08-11 11:43,36,10,Completed
9,Blood Delivery,1,2026-08-21 14:53,41,17,Pending
10,Medicine Delivery,3,2026-08-24 15:35,18,3,Pending
11,Patient Transfer,1,2026-08-05 16:02,46,28,Completed
12,Equipment Delivery,2,2026-08-10 13:57,24,38,Pending
13,Medicine Delivery,1,2026-08-25 16:56,3,23,Assigned
14,Medicine Delivery,2,2026-08-14 08:11,27,40,Pending
15,Equipment Delivery,2,2026-08-06 09:24,48,22,Assigned
16,Equipment Delivery,3,2026-08-27 11:14,3,31,Assigned
17,Blood Delivery,3,2026-08-25 12:22,2,43,Pending
18,Sample Pickup,3,2026-08-04 12:11,42,33,Pending
19,Sample Pickup,4,2026-08-24 13:27,38,17,Assigned
20,Sample Pickup,2,2026-08-02 14:00,39,33,Assigned
21,Medicine Delivery,3,2026-08-03 13:39,34,35,Assigned
22,Blood Delivery,5,2026-08-22 14:20,21,43,Assigned
23,Medicine Delivery,2,2026-08-22 14:43,26,45,Assigned
24,Blood Delivery,4,2026-08-27 08:19,48,12,Completed
25,Sample Pickup,5,2026-08-11 15:28,19,14,Completed
26,Equipment Delivery,2,2026-08-03 12:32,29,44,Completed
27,Patient Transfer,2,2026-08-10 11:51,43,41,Completed
28,Medicine Delivery,4,2026-08-28 09:29,13,10,Completed
29,Equipment Delivery,4,2026-08-08 10:41,27,41,Assigned
30,Patient Transfer,4,2026-08-06 16:29,45,1,Pending
31,Patient Transfer,4,2026-08-26 15:42,4,36,Pending
32,Equipment Delivery,5,2026-08-17 14:53,34,36,Completed
33,Equipment Delivery,4,2026-08-25 11:53,36,29,Assigned
34,Sample Pickup,4,2026-08-08 12:28,41,18,Completed
35,Blood Delivery,3,2026-08-18 09:08,5,46,Assigned
36,Medicine Delivery,2,2026-08-14 14:21,10,15,Pending
37,Medicine Delivery,4,2026-08-25 17:44,35,30,Assigned
38,Equipment Delivery,1,2026-08-10 14:54,2,49,Assigned
39,Sample Pickup,5,2026-08-16 11:17,27,35,Pending
40,Blood Delivery,4,2026-08-06 15:58,28,32,Completed
41,Equipment Delivery,5,2026-08-22 08:05,9,40,Completed
42,Equipment Delivery,2,2026-08-09 14:20,42,28,Pending
43,Equipment Delivery,3,2026-08-09 09:30,14,30,Assigned
44,Blood Delivery,2,2026-08-03 08:48,2,48,Completed
45,Patient Transfer,5,2026-08-08 10:30,2,16,Pending
46,Equipment Delivery,3,2026-08-06 17:38,43,8,Assigned
47,Medicine Delivery,3,2026-08-19 08:59,48,46,Pending
48,Equipment Delivery,4,2026-08-07 09:37,20,37,Completed
49,Blood Delivery,5,2026-08-26 17:50,45,41,Pending
50,Blood Delivery,1,2026-08-21 13:00,3,23,Completed
51,Blood Delivery,4,2026-08-05 14:11,27,32,Completed
52,Sample Pickup,5,2026-08-15 14:52,47,34,Assigned
53,Medicine Delivery,1,2026-08-15 11:48,47,38,Assigned
54,Equipment Delivery,3,2026-08-16 13:11,30,37,Pending
55,Blood Delivery,3,2026-08-20 12:35,32,14,Assigned
56,Medicine Delivery,4,2026-08-18 11:44,1,34,Assigned
57,Equipment Delivery,1,2026-08-10 11:25,31,42,Pending
58,Sample Pickup,3,2026-08-18 16:22,45,16,Assigned
59,Blood Delivery,4,2026-08-10 12:14,28,48,Assigned
60,Patient Transfer,5,2026-08-06 11:13,8,47,Completed
61,Sample Pickup,5,2026-08-10 09:53,48,31,Completed
62,Medicine Delivery,3,2026-08-23 16:08,13,19,Pending
63,Blood Delivery,2,2026-08-28 15:06,18,3,Completed
64,Equipment Delivery,4,2026-08-06 08:16,1,37,Assigned
65,Equipment Delivery,4,2026-08-19 08:09,31,8,Pending
66,Medicine Delivery,1,2026-08-25 14:38,10,37,Completed
67,Sample Pickup,4,2026-08-15 12:55,39,40,Assigned
68,Sample Pickup,1,2026-08-24 09:48,38,28,Completed
69,Patient Transfer,2,2026-08-06 16:04,14,41,Pending
70,Sample Pickup,4,2026-08-02 11:18,11,1,Assigned
71,Equipment Delivery,1,2026-08-08 12:50,46,19,Completed
72,Medicine Delivery,4,2026-08-18 11:41,41,38,Pending
73,Patient Transfer,1,2026-08-26 12:38,10,18,Pending
74,Equipment Delivery,1,2026-08-23 12:44,48,37,Assigned
75,Equipment Delivery,4,2026-08-20 08:56,26,18,Pending
76,Blood Delivery,1,2026-08-08 17:37,28,48,Pending
