id,type,availability_status,current_location_id
1,Ambulance,Available,45
2,Nurse,Available,47
3,Porter,Available,36
4,Wheelchair,Busy,43
5,Medical Cart,Available,46
6,Ambulance,Available,32
7,Nurse,Available,10
8,Porter,Busy,13
9,Wheelchair,Available,19
10,Medical Cart,Available,14
11,Ambulance,Available,4
12,Nurse,Busy,38
13,Porter,Available,48
14,Wheelchair,Available,35
15,Medical Cart,Available,4
16,Ambulance,Busy,48
17,Nurse,Available,21
18,Porter,Available,4
19,Wheelchair,Available,4
20,Medical Cart,Busy,38
21,Ambulance,Available,31
22,Nurse,Available,33
23,Porter,Available,34
24,Wheelchair,Busy,11
25,Medical Cart,Available,4
26,Ambulance,Available,33
27,Nurse,Available,6
28,Porter,Busy,12
29,Wheelchair,Available,5
30,Medical Cart,Available,39
