id,from_location_id,to_location_id,distance
1,1,2,68
2,2,3,110
3,3,4,97
4,4,5,66
5,5,6,179
6,6,7,148
7,7,8,47
8,8,9,95
9,9,10,169
10,10,11,46
11,11,12,90
12,12,13,179
13,13,14,96
14,14,15,111
15,15,16,80
16,16,17,148
17,17,18,111
18,18,19,95
19,19,20,66
20,20,21,137
21,21,22,131
22,22,23,107
23,23,24,157
24,24,25,71
25,25,26,60
26,26,27,115
27,27,28,132
28,28,29,89
29,29,30,57
30,30,31,98
31,31,32,60
32,32,33,65
33,33,34,111
34,34,35,133
35,35,36,134
36,36,37,93
37,37,38,108
38,38,39,58
39,39,40,83
40,40,41,102
41,41,42,158
42,42,43,109
43,43,44,96
44,44,45,123
45,45,46,98
46,46,47,120
47,47,48,108
48,48,49,94
49,49,50,120
50,42,32,151
51,10,17,85
52,48,36,187
53,48,38,159
54,24,15,85
55,32,6,243
56,8,10,210
57,44,28,202
58,39,30,185
59,36,1,224
60,44,35,242
61,50,42,137
62,19,28,90
63,1,47,274
64,33,49,95
65,7,41,126
66,39,13,89
67,49,11,188
68,1,39,132
69,2,8,287
70,20,16,64
71,37,6,71
72,5,49,186
73,9,43,171
74,11,17,185
75,14,35,243
76,46,20,152
77,29,34,165
78,16,15,66
79,2,38,191
80,38,15,51
81,46,41,65
82,5,3,270
83,5,33,110
84,43,32,104
85,9,47,289
86,16,31,256
87,13,7,74
88,23,28,155
89,47,4,222
90,4,26,236
91,7,16,99
92,35,29,85
93,12,18,168
94,5,29,256
95,7,4,216
96,1,6,287
97,11,27,174
98,14,26,281
99,11,25,50
100,17,30,123
